Country,Type,Litres
Afghanistan,beer,0.0
Afghanistan,pure alcohol,0.0
Afghanistan,spirit,0.0
Afghanistan,wine,0.0
Albania,beer,89.0
Albania,pure alcohol,4.9
Albania,spirit,132.0
Albania,wine,54.0
Algeria,beer,25.0
Algeria,pure alcohol,0.7
Algeria,spirit,0.0
Algeria,wine,14.0
Andorra,beer,245.0
Andorra,pure alcohol,12.4
Andorra,spirit,138.0
Andorra,wine,312.0
Angola,beer,217.0
Angola,pure alcohol,5.9
Angola,spirit,57.0
Angola,wine,45.0
Antigua & Barbuda,beer,102.0
Antigua & Barbuda,pure alcohol,4.9
Antigua & Barbuda,spirit,128.0
Antigua & Barbuda,wine,45.0
Argentina,beer,193.0
Argentina,pure alcohol,8.3
Argentina,spirit,25.0
Argentina,wine,221.0
Armenia,beer,21.0
Armenia,pure alcohol,3.8
Armenia,spirit,179.0
Armenia,wine,11.0
Australia,beer,261.0
Australia,pure alcohol,10.4
Australia,spirit,72.0
Australia,wine,212.0
Austria,beer,279.0
Austria,pure alcohol,9.7
Austria,spirit,75.0
Austria,wine,191.0
Azerbaijan,beer,21.0
Azerbaijan,pure alcohol,1.3
Azerbaijan,spirit,46.0
Azerbaijan,wine,5.0
Bahamas,beer,122.0
Bahamas,pure alcohol,6.3
Bahamas,spirit,176.0
Bahamas,wine,51.0
Bahrain,beer,42.0
Bahrain,pure alcohol,2.0
Bahrain,spirit,63.0
Bahrain,wine,7.0
Bangladesh,beer,0.0
Bangladesh,pure alcohol,0.0
Bangladesh,spirit,0.0
Bangladesh,wine,0.0
Barbados,beer,143.0
Barbados,pure alcohol,6.3
Barbados,spirit,173.0
Barbados,wine,36.0
Belarus,beer,142.0
Belarus,pure alcohol,14.4
Belarus,spirit,373.0
Belarus,wine,42.0
Belgium,beer,295.0
Belgium,pure alcohol,10.5
Belgium,spirit,84.0
Belgium,wine,212.0
Belize,beer,263.0
Belize,pure alcohol,6.8
Belize,spirit,114.0
Belize,wine,8.0
Benin,beer,34.0
Benin,pure alcohol,1.1
Benin,spirit,4.0
Benin,wine,13.0
Bhutan,beer,23.0
Bhutan,pure alcohol,0.4
Bhutan,spirit,0.0
Bhutan,wine,0.0
Bolivia,beer,167.0
Bolivia,pure alcohol,3.8
Bolivia,spirit,41.0
Bolivia,wine,8.0
Bosnia-Herzegovina,beer,76.0
Bosnia-Herzegovina,pure alcohol,4.6
Bosnia-Herzegovina,spirit,173.0
Bosnia-Herzegovina,wine,8.0
Botswana,beer,173.0
Botswana,pure alcohol,5.4
Botswana,spirit,35.0
Botswana,wine,35.0
Brazil,beer,245.0
Brazil,pure alcohol,7.2
Brazil,spirit,145.0
Brazil,wine,16.0
Brunei,beer,31.0
Brunei,pure alcohol,0.6
